ts_code,date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603022.SH,2015-05-18,7.91,7.91,7.91,7.91,5.49,2.42,44.08,62.0,127.782
603022.SH,2015-05-19,8.7,8.7,8.7,8.7,7.91,0.7899999999999991,9.99,20.0,45.34
603022.SH,2015-05-20,9.57,9.57,9.57,9.57,8.7,0.870000000000001,10.0,30.0,74.82
603022.SH,2015-05-21,10.53,10.53,10.53,10.53,9.57,0.9599999999999991,10.03,46.0,126.178
603022.SH,2015-05-22,11.58,11.58,11.58,11.58,10.53,1.0500000000000007,9.97,47.0,141.799
603022.SH,2015-05-25,12.74,12.74,12.74,12.74,11.58,1.1600000000000001,10.02,27.0,89.613
603022.SH,2015-05-26,14.01,14.01,14.01,14.01,12.74,1.2699999999999996,9.97,66.0,240.966
603022.SH,2015-05-27,15.41,15.41,15.41,15.41,14.01,1.4000000000000004,9.99,80.0,321.28
603022.SH,2015-05-28,16.96,16.96,16.96,16.96,15.41,1.5500000000000007,10.06,171.0,755.478
603022.SH,2015-05-29,18.65,18.65,18.65,18.65,16.96,1.6899999999999977,9.96,722.0,3508.92
603022.SH,2015-06-01,20.52,20.52,20.52,20.52,18.65,1.870000000000001,10.03,147.0,785.862
603022.SH,2015-06-02,22.57,22.57,22.57,22.57,20.52,2.0500000000000007,9.99,340.0,1999.54
603022.SH,2015-06-03,24.83,24.83,24.83,24.83,22.57,2.259999999999998,10.01,1683.0,10887.327
603022.SH,2015-06-04,27.31,27.31,27.31,27.31,24.83,2.4800000000000004,9.99,3627.8,25815.425
603022.SH,2015-06-05,30.04,30.04,30.04,30.04,27.31,2.7300000000000004,10.0,9687.33,75832.419
603022.SH,2015-06-08,31.57,32.24,27.21,28.07,30.04,-1.9699999999999989,-6.56,123894.43,945372.447
603022.SH,2015-06-09,25.26,26.87,25.26,25.26,28.07,-2.8099999999999987,-10.01,68544.06,454252.199
603022.SH,2015-06-10,24.18,27.79,23.16,27.79,25.26,2.5299999999999976,10.02,68314.02,467245.213
603022.SH,2015-06-11,30.31,30.56,28.8,30.56,27.79,2.7699999999999996,9.97,39628.51,311793.13
603022.SH,2015-06-12,33.62,33.62,28.01,28.02,30.56,-2.539999999999999,-8.31,101942.11,828111.364
603022.SH,2015-06-15,26.29,26.54,25.22,25.22,28.02,-2.8000000000000007,-9.99,58692.46,392352.845
603022.SH,2015-06-16,24.03,24.75,23.14,23.25,25.22,-1.9699999999999989,-7.81,36648.55,227566.858
603022.SH,2015-06-17,23.71,24.65,23.03,24.09,23.25,0.8399999999999999,3.61,25656.3,159098.54
603022.SH,2015-06-18,23.63,23.83,21.68,21.68,24.09,-2.41,-10.0,30499.69,179673.264
603022.SH,2015-06-19,20.74,23.79,19.58,21.02,21.68,-0.6600000000000001,-3.04,37004.51,210726.339
603022.SH,2015-06-23,21.11,23.13,21.02,23.13,21.02,2.1099999999999994,10.04,48630.91,289215.936
603022.SH,2015-06-24,23.72,23.75,21.65,22.23,23.13,-0.8999999999999986,-3.89,53786.22,314925.613
603022.SH,2015-06-25,21.59,21.8,20.01,20.09,22.23,-2.1400000000000006,-9.63,36873.19,200280.492
603022.SH,2015-06-26,19.2,19.41,18.08,18.2,20.09,-1.8900000000000006,-9.41,36767.76,176429.568
603022.SH,2015-06-29,18.84,19.19,16.39,16.4,18.2,-1.8000000000000007,-9.89,24787.58,114071.13
603022.SH,2015-06-30,16.11,17.88,14.84,17.58,16.4,1.1799999999999997,7.2,29379.96,123751.171
603022.SH,2015-07-01,17.27,18.36,16.07,16.14,17.58,-1.4399999999999977,-8.19,28252.26,129022.043
603022.SH,2015-07-02,16.12,16.74,14.53,14.53,16.14,-1.6100000000000012,-9.98,20800.7,83443.057
603022.SH,2015-07-03,14.38,15.24,13.11,13.77,14.53,-0.7599999999999998,-5.23,25004.99,92012.419
603022.SH,2015-07-06,15.15,15.15,13.55,14.4,13.77,0.6300000000000008,4.58,29277.07,110990.715
603022.SH,2015-07-07,13.62,14.2,12.96,12.96,14.4,-1.4399999999999995,-10.0,12328.44,42467.66
603022.SH,2015-07-08,11.66,11.66,11.66,11.66,12.96,-1.3000000000000007,-10.03,1572.0,4775.736
603022.SH,2015-07-13,12.83,12.83,12.83,12.83,11.66,1.17,10.03,305.0,1019.31
603022.SH,2015-07-14,14.11,14.11,14.11,14.11,12.83,1.2799999999999994,9.98,1128.01,4146.565
603022.SH,2015-07-15,15.52,15.52,12.85,13.46,14.11,-0.6499999999999986,-4.61,46760.65,178989.507
603022.SH,2015-07-16,12.3,14.6,12.28,14.15,13.46,0.6899999999999995,5.13,32874.99,115096.786
603022.SH,2015-07-17,13.84,15.56,13.84,15.44,14.15,1.2899999999999991,9.12,39079.64,150952.13
603022.SH,2015-07-20,15.35,16.98,15.12,16.97,15.44,1.5299999999999994,9.91,42979.27,177310.191
603022.SH,2015-07-21,16.35,17.85,16.12,16.93,16.97,-0.03999999999999915,-0.24,37714.25,169764.03
603022.SH,2015-07-22,16.58,17.11,16.34,16.84,16.93,-0.08999999999999986,-0.53,22462.72,97684.168
603022.SH,2015-07-23,16.56,18.53,16.56,18.53,16.84,1.6900000000000013,10.04,36917.1,171007.487
603022.SH,2015-07-24,18.61,19.15,17.73,18.02,18.53,-0.5100000000000016,-2.75,56659.88,271025.715
603022.SH,2015-07-27,17.29,18.38,16.22,16.22,18.02,-1.8000000000000007,-9.99,26937.29,121632.0
603022.SH,2015-07-28,14.93,16.81,14.78,15.26,16.22,-0.9599999999999991,-5.92,25907.16,103508.258
603022.SH,2015-07-29,15.62,16.51,13.89,16.48,15.26,1.2200000000000006,7.99,36106.53,143413.751
603022.SH,2015-07-30,16.04,17.35,15.56,15.77,16.48,-0.7100000000000009,-4.31,34078.76,145761.459
603022.SH,2015-07-31,15.01,17.34,15.01,17.34,15.77,1.5700000000000003,9.96,53790.02,234421.781
603022.SH,2015-08-03,17.34,18.96,16.5,18.92,17.34,1.5800000000000018,9.11,70970.36,326345.001
603022.SH,2015-08-04,19.19,19.19,17.03,18.11,18.92,-0.8100000000000023,-4.28,61387.49,286093.516
603022.SH,2015-08-05,17.47,19.25,17.27,18.46,18.11,0.3500000000000014,1.93,56919.7,274446.177
603022.SH,2015-08-06,17.92,18.08,17.08,17.26,18.46,-1.1999999999999993,-6.5,33812.17,154212.84
