ts_code,date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002722.SZ,2015-04-13,21.05,21.05,21.05,21.05,19.14,1.9100000000000001,9.98,464.05,1080.3084
002722.SZ,2015-04-14,23.16,23.16,23.16,23.16,21.05,2.1099999999999994,10.02,262.06,671.1357
002722.SZ,2015-04-15,25.48,25.48,25.48,25.48,23.16,2.3200000000000003,10.02,1434.61,4041.2964
002722.SZ,2015-04-16,28.03,28.03,28.03,28.03,25.48,2.5500000000000007,10.01,12967.15,40185.1979
002722.SZ,2015-04-17,30.3,30.3,26.95,27.58,28.03,-0.45000000000000284,-1.61,180612.0,571288.8134
002722.SZ,2015-04-20,26.23,26.84,24.82,25.1,27.58,-2.479999999999997,-8.99,115842.64,331322.3227
002722.SZ,2015-04-21,24.96,25.72,24.88,25.56,25.1,0.4599999999999973,1.83,64163.76,180296.0531
002722.SZ,2015-04-22,25.79,26.47,25.6,25.72,25.56,0.16000000000000014,0.63,72396.81,207726.0778
002722.SZ,2015-04-23,25.68,26.94,25.64,26.52,25.72,0.8000000000000007,3.11,85034.32,247001.0217
002722.SZ,2015-04-24,25.95,26.51,25.78,26.26,26.52,-0.259999999999998,-0.98,56335.63,162967.4616
002722.SZ,2015-04-27,26.78,27.27,26.23,26.47,26.26,0.2099999999999973,0.8,60877.63,179093.654
002722.SZ,2015-04-28,26.52,26.71,25.23,25.53,26.47,-0.9399999999999977,-3.55,45251.79,130158.4147
002722.SZ,2015-04-29,25.5,26.18,25.5,26.04,25.53,0.509999999999998,2.0,31736.34,91102.5119
002722.SZ,2015-04-30,26.14,26.66,25.92,26.02,26.04,-0.019999999999999574,-0.08,32027.34,93075.5426
002722.SZ,2015-05-04,26.0,26.0,25.19,25.65,26.02,-0.370000000000001,-1.42,28458.79,80562.7173
002722.SZ,2015-05-05,25.78,26.2,25.15,25.38,25.65,-0.2699999999999996,-1.05,31900.65,91031.1469
002722.SZ,2015-05-06,25.38,26.12,25.34,25.5,25.38,0.120000000000001,0.47,32654.2,92612.5412
002722.SZ,2015-05-07,25.43,26.0,25.34,25.86,25.5,0.35999999999999943,1.41,36809.25,104867.7231
002722.SZ,2015-05-08,26.14,28.41,25.91,27.74,25.86,1.879999999999999,7.27,93110.95,281961.2797
002722.SZ,2015-05-11,27.99,29.03,27.67,28.67,27.74,0.9300000000000033,3.35,80287.71,253258.9986
002722.SZ,2015-05-12,28.68,28.76,27.49,28.25,28.67,-0.4200000000000017,-1.46,62518.73,193931.3277
002722.SZ,2015-05-13,27.85,28.94,27.72,28.91,28.25,0.6600000000000001,2.34,56930.77,179041.8388
002722.SZ,2015-05-14,29.07,31.74,29.07,30.34,28.91,1.4299999999999997,4.95,71549.94,242098.1625
002722.SZ,2015-05-15,29.84,30.11,28.32,28.67,30.34,-1.6699999999999982,-5.5,53093.06,170878.499
002722.SZ,2015-05-18,28.03,30.31,28.03,30.1,28.67,1.4299999999999997,4.99,55747.37,181704.2305
002722.SZ,2015-05-19,30.59,31.44,29.83,30.64,30.1,0.5399999999999991,1.79,52780.9,178606.1869
002722.SZ,2015-05-20,30.76,32.53,30.32,30.93,30.64,0.28999999999999915,0.95,62700.38,217923.9781
002722.SZ,2015-05-21,30.97,31.42,30.28,30.92,30.93,-0.00999999999999801,-0.03,49713.65,169883.9726
002722.SZ,2015-05-22,31.01,31.82,29.48,31.11,30.92,0.18999999999999773,0.61,59536.74,202357.4187
002722.SZ,2015-05-25,30.75,34.22,30.34,34.22,31.11,3.1099999999999994,10.0,87063.57,317560.7296
